video_name,phase_type,entry_velocity_mps,contact_time_s,min_knee_angle,distance_m
WC_2017_Duranona_JUMP1.mp4,hop,7.212406930636188,0.1,163.47001659212117,6.15
WC_2017_Duranona_JUMP1.mp4,step,7.212406930636188,0.1,137.11668261765428,4.78
WC_2017_Duranona_JUMP1.mp4,jump,7.212406930636188,0.13333333333333333,112.50659506105147,5.49
WC_2017_Benard_JUMP1.mp4,hop,7.286565326101459,0.06666666666666667,26.557395361618212,5.47
WC_2017_Benard_JUMP1.mp4,step,7.286565326101459,0.06666666666666667,65.90797512473411,5.38
WC_2017_Benard_JUMP1.mp4,jump,7.286565326101459,0.13333333333333333,116.13130987205516,5.76
WC_2017_Copello_JUMP1.mp4,hop,7.0233592710345,0.1,31.896091300028047,5.87
WC_2017_Copello_JUMP1.mp4,step,7.0233592710345,0.1,143.52839097165412,5.29
WC_2017_Copello_JUMP1.mp4,jump,7.0233592710345,0.1,120.40657645170893,6.0
WC_2017_Claye_JUMP1.mp4,hop,8.468132482700655,0.06666666666666667,110.14287849833038,5.81
WC_2017_Claye_JUMP1.mp4,step,8.468132482700655,0.1,145.07309308914267,5.15
WC_2017_Claye_JUMP1.mp4,jump,8.468132482700655,0.1,114.61171133262205,6.58
WC_2017_Taylor_JUMP1.mp4,hop,8.486660934404165,0.06666666666666667,85.77991146772375,5.39
WC_2017_Taylor_JUMP1.mp4,step,8.486660934404165,0.1,128.14887784071416,5.15
WC_2017_Taylor_JUMP1.mp4,jump,8.486660934404165,0.13333333333333333,115.71688174482478,6.43
WC_2017_Claye_JUMP2.mp4,hop,7.079959342967886,0.06666666666666667,144.9105414939667,6.03
WC_2017_Claye_JUMP2.mp4,step,7.079959342967886,0.1,136.70519521242588,4.81
WC_2017_Claye_JUMP2.mp4,jump,7.079959342967886,0.1,111.26215225639844,6.68
WC_2017_Taylor_JUMP2.mp4,hop,7.507196555929457,0.06666666666666667,149.37218122527432,6.13
WC_2017_Taylor_JUMP2.mp4,step,7.507196555929457,0.1,139.82998992637215,5.07
WC_2017_Taylor_JUMP2.mp4,jump,7.507196555929457,0.13333333333333333,101.46669990998362,6.37
WAC_2019_Napoles_JUMP1.mp4,hop,5.355999481159607,0.03333333333333333,57.414775256859414,6.14
WAC_2019_Napoles_JUMP1.mp4,step,5.355999481159607,0.1,19.980347142123644,5.24
WAC_2019_Napoles_JUMP1.mp4,jump,5.355999481159607,0.13333333333333333,90.90756389052359,5.98
WAC_2019_Zango_JUMP1.mp4,hop,5.619103813155646,0.06666666666666667,67.75911900208335,6.46
WAC_2019_Zango_JUMP1.mp4,step,5.619103813155646,0.1,38.645937570697264,5.64
WAC_2019_Zango_JUMP1.mp4,jump,5.619103813155646,0.13333333333333333,60.9696548293639,5.36
WAC_2019_Taylor_JUMP1.mp4,hop,5.9675855098164785,0.06666666666666667,114.35249824800418,5.93
WAC_2019_Taylor_JUMP1.mp4,step,5.9675855098164785,0.1,43.53747809907285,5.22
WAC_2019_Taylor_JUMP1.mp4,jump,5.9675855098164785,0.13333333333333333,105.63785216181434,6.27
WAC_2019_Taylor_JUMP2.mp4,hop,5.255872336065951,0.1,126.36308054616228,6.0
WAC_2019_Taylor_JUMP2.mp4,step,5.255872336065951,0.1,123.31900544186125,5.45
WAC_2019_Taylor_JUMP2.mp4,jump,5.255872336065951,0.1,113.22153361797676,6.41
WAC_2019_Claye_JUMP1.mp4,hop,5.445124185172376,0.06666666666666667,143.67980068779792,6.34
WAC_2019_Claye_JUMP1.mp4,step,5.445124185172376,0.1,137.34113766167667,5.06
WAC_2019_Claye_JUMP1.mp4,jump,5.445124185172376,0.1,119.67298727988944,6.34
WAC_2019_DiazFortun_JUMP1.mp4,hop,6.228062257564049,0.06666666666666667,134.5761493767709,5.99
WAC_2019_DiazFortun_JUMP1.mp4,step,6.228062257564049,0.1,100.47204247055414,4.98
WAC_2019_DiazFortun_JUMP1.mp4,jump,6.228062257564049,0.16666666666666666,96.50467038956043,5.72
WAC_2019_Zango_JUMP2.mp4,hop,5.562679179943195,0.06666666666666667,99.93900096405854,6.15
WAC_2019_Zango_JUMP2.mp4,step,5.562679179943195,0.1,119.9723532613884,5.32
WAC_2019_Zango_JUMP2.mp4,jump,5.562679179943195,0.1,111.18731163274765,6.19
WAIC_2024_Triki_JUMP1.mp4,hop,-6.135974407045961,0.06666666666666667,53.12311514195465,6.33
WAIC_2024_Triki_JUMP1.mp4,step,-6.135974407045961,0.1,81.53134457210382,5.16
WAIC_2024_Triki_JUMP1.mp4,jump,-6.135974407045961,0.13333333333333333,89.33398713139866,5.92
WAIC_2024_Zango_JUMP1.mp4,hop,-7.287715726497237,0.03333333333333333,98.98703593756738,6.73
WAIC_2024_Zango_JUMP1.mp4,step,-7.287715726497237,0.1,103.61196204491135,4.86
WAIC_2024_Zango_JUMP1.mp4,jump,-7.287715726497237,0.13333333333333333,124.4233317204113,5.74
WAIC_2024_Zhu_JUMP1.mp4,hop,-5.827728590333369,0.06666666666666667,83.98693339844654,5.75
WAIC_2024_Zhu_JUMP1.mp4,step,-5.827728590333369,0.1,105.87074012603699,5.2
WAIC_2024_Zhu_JUMP1.mp4,jump,-5.827728590333369,0.1,144.93629789082377,5.77
WAIC_2024_Scott_JUMP1.mp4,hop,-6.606460202925278,0.06666666666666667,158.46605786457278,6.15
WAIC_2024_Scott_JUMP1.mp4,step,-6.606460202925278,0.1,133.9914606206503,5.11
WAIC_2024_Scott_JUMP1.mp4,jump,-6.606460202925278,0.13333333333333333,81.40470606316936,5.51
